Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_361.jpg;0;0;0;0;99.44453;89.12421;0.0002331137;40.13635;1.499992E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_410.jpg;0;0;0;0;99.44453;89.12421;0.0002330687;40.13635;2.467744E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_460.jpg;0;0;0;0;99.44453;89.12421;0.0002330012;40.13635;3.919404E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_510.jpg;0;0.0990999;0;0;99.44462;89.12429;0.003087386;40.13635;5.118264E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_561.jpg;0;0.2476152;0;0.01016434;99.44537;89.12492;0.02511156;40.22515;-4.133382E-05
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_611.jpg;0;0.3997458;0;0.01784613;99.44573;89.12522;0.03465292;40.23986;-0.0001097741
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_661.jpg;0;0.5484837;0;0.04347611;99.44812;89.12724;0.09891079;40.33353;-0.0002150812
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_710.jpg;0;0.7004326;0;0.06538064;99.45078;89.12951;0.1687312;40.38747;-0.0002472753
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_762.jpg;0;0.8492533;0;0.09223188;99.4574;89.13512;0.3396937;40.23918;0.0005159952
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_810.jpg;0;0.9999898;0;0.1475475;99.46357;89.1403;0.4861729;40.21755;-0.001149221
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_861.jpg;0;1;0;0.1717544;99.47386;89.14899;0.697084;40.31227;-0.0006276501
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_911.jpg;0;1;0;0.2171622;99.48235;89.15617;0.8569933;40.30833;-7.914299E-05
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_962.jpg;0;1;0;0.2573107;99.49761;89.16902;1.121115;40.26808;-0.0001060216
